PROTOCOL_NO,TITLE,SHORT_TITLE,INVESTIGATOR_NAME,ELIGIBILITY,DESCRIPTION,PHASE_DESC,TREATMENT_TYPE_DESC,SPONSOR_NAMES/SPONSOR_NAME/0,SPONSOR_NAMES/SPONSOR_NAME/1,DISEASE_SITES/DISEASE_SITE/0
NRG-HN001,Randomized Phase II and Phase III Studies of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker Epstein Barr Virus (EBV) Deoxyribonucleic Acid (DNA),Phase2/3 study of Individualized Treatment for Nasopharyngeal Carcinoma Based on Biomarker EBV DNA,Rupali Nabar,"18 Years and older   (Adult, Older Adult)","There are two study questions we are asking in this randomized phase II/III trial based on a blood biomarker, Epstein Barr virus (EBV) deoxyribonucleic acid (DNA) for locoregionally advanced non-metastatic nasopharyngeal cancer. All patients will first undergo standard concurrent chemotherapy and radiation therapy. When this standard treatment is completed, if there is no detectable EBV DNA in their plasma, then patients are randomized to either standard adjuvant cisplatin and fluorouracil chemotherapy or observation. If there is still detectable levels of plasma EBV DNA, patients will be randomized to standard cisplatin and fluorouracil chemotherapy versus gemcitabine and paclitaxel. Radiation therapy uses high energy x rays to kill tumor cells. Drugs used in chemotherapy, such as cisplatin, fluorouracil, gemcitabine hydrochloride, and paclitaxel work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. It is not yet known whether giving cisplatin and fluorouracil is more effective than gemcitabine hydrochloride and paclitaxel after radiation therapy in treating patients with nasopharyngeal cancer.",II/III,Treatment,Radiation Therapy Oncology Group,NRG Oncology,"Lip, Oral Cavity and Pharynx"
UCI-14-89,[BIOREPOSITORY] Hematologic Malignancies Biorepository for human research,BIOREPOSITORY PROTOCOL EXEMPT FROM NCI REPORTING,Angela G Fleischman,Adult,"UC Irvine Medical Center is both a treatment and a research hospital. As a patient here, you may be treated
by some doctors who are also researchers performing studies to improve treatments currently available.

Scientists and clinicians at this institution are working together to discover new ways to treat cancer and
new ways to make current treatments safer and more effective. In order to conduct this research, we need
to study samples of normal and disease tissue obtained from normal volunteers and our patients. In order
to minimize the discomfort and risk to subjects, we are seeking to collect tissue that is left over from studies
that are required for your evaluation and care and are already being done. In certain circumstances (blood
draw and bone marrow aspiration) we are seeking to collect a small amount of tissue in addition to the
sample that would be collected for your routine care. Except for giving samples of blood, you will not be
asked to undergo any procedure solely for the purpose of obtaining a sample for this study. 

You are being asked to take part in this research study because you have or are being evaluated for a
hematologic malignancy, bone marrow disorder, or immune system disorder.

This research study involves the collection and storage of blood and other tissue for later research testing.
It is not currently known how samples donated to the repository will be used at this time. These research tests may be developed during the time you are a patient at UC Irvine Medical Center, or in some cases, years later. Any researcher at UCI or their collaborators (including for-profit entities) may request permission to use samples from the repository. Frozen de-identified samples will be provided to researchers after their plans have been evaluated and approved by the UCI review board that oversees human research (IRB). These tests may provide additional information that will be helpful in understanding cancer and other diseases, but it is unlikely that what we learn from these studies will benefit you directly.

These studies may benefit other patients in the future. The research performed on these samples may
include the study of genetics, including the subject&#8217;s DNA code, parts or the DNA code or even whole
genome sequencing. Samples from the repository will not be used to create cell lines.",N/A,Other,UCI,,Non-Hodgkin's Lymphoma
UCI-15-40,[EXEMPT - REGISTRY TRIAL] Prospective and Retrospective Study of Outcomes for Patients with Malignant Melanoma,Prospective and Retrospective Study of Outcomes for Patients with Malignant Melanoma,Maki Yamamoto,"You are eligible to participate in this study if you are at least 18 years old and have a confirmed diagnosis of 
melanoma.","Advances in the treatment of malignant melanoma are being developed in terms of medical information on
diagnosis, surgery, adjuvant therapy and post-treatment surveillance. The purpose of this protocol would be to
create a data repository by collecting key data elements to watch for patterns within melanoma to potentially
help future patients. By collecting this data, we intend to assess trends by watching for patterns of melanoma
inclusive of treatment, criteria for staging, time to recurrence, population, patients at risk for recurrence,
survival of patients, and time to death. The collection of this data will include a retrospective collection of
historical patients and a prospective collection from new patients within the melanoma UC Irvine Health clinics",N/A,Basic Science,UCI,,"Melanoma, Skin"
ALLIANCE-A071401,Phase II Trial of SMO/AKT/NF2/CDK Inhibitors in Progressive Meningiomas with SMO/ AKT/ NF2 /CDK Pathway Mutations,Ph II Trial of SMO/AKT/NF2 Inhibitors in Progressive Meningiomas w/ SMO/ AKT/ NF2 Mutations,Daniela Bota,Adults,"This phase II trial studies how well vismodegib, focal adhesion kinase (FAK) inhibitor GSK2256098, and capivasertib work in treating patients with meningioma that is growing, spreading, or getting worse (progressive). Vismodegib, FAK inhibitor GSK2256098, capivasertib, and abemaciclib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.",II,Treatment,Alliance,NRG Oncology,Brain and Nervous System
UCI-16-79,"A Phase I/II, Open-Label, Multi-Center, First-in-Human Study of the Safety, Tolerability, Pharmacokinetics, and Anti-Tumor Activity of TPX-0005 in Patients with Advanced Solid Tumors Harboring ALK, ROS1, or NTRK1-3 Rearrangements (TRIDENT-1)",Ph I/II Study of TPX-0005 for ALK/ROS1/NTRK1-3 Rearrangements in Adv Solid Tumors (TRIDENT-1),Misako Nagasaka,Adults,"This study has 2 parts (Phase 1 and Phase 2): 
&#8226;	Phase 1: Phase 1 of this research study is currently ongoing. It was the first time that the study drug, reprotrectinib, was given to humans.
o	The purpose of Phase 1 was to determine the dose of repotrectinib to use in Phase 2 of the study.  Phase 1 look at the side effects and response of tumors to different doses of repotrectinib. Phase 1 also looked at how different foods affect how repotrectinib gets into the body. Phase 1 includes the following sub-studies:
&#61607;	Phase 1a, where the study drug is given under fasting conditions. You will need to fast 1 hour before and 2 hours after study drug administration. As of November 5th 2018, this part of the study is completed and will not enroll any new subjects
&#61607;	Phase 1b is a Food Effect Sub-Study (a study within a study). You may be asked to participate in the Food Effect Sub-Study. The purpose of the Food Effect Sub-Study is to determine the effect of high-fat, high-calorie food on a single dose of repotrectinib (how much and how fast repotrectinib gets into the body after a meal). As of November 5th 2018, this part of the study is completed and will not enroll any new subjects.
&#61607;	Phase 1 also includes a study of repotrectinib when administered continuously with food, where you will take every dose of the study drug with a standard meal, called Phase 1c. 
&#8226;	Phase 2: You are being asked to participate in Phase 2 of this study (not Phase 1). The purpose of Phase 2 is to determine, more specifically, whether repotrectinib works, especially in groups of subjects who have the various tumor gene rearrangements mentioned above. Phase 2 will also continue to look at the side effects as well as how repotrectinib is absorbed into the body.
The Phase 2 portion of the study will evaluate the anti-cancer activity of repotrectinib at the dose listed below:
&#8226;	160 mg once a day for 14 days that may increase to 160 mg twice a day based on the drug&#8217;s tolerability 
The study doctor will assess and decide if your dose should be increased or decreased.
 No study procedures related to this study will be performed until you have signed this Informed Consent Form. A copy of the signed Informed Consent Form will be given to you to keep.",I/II,Treatment,Turning Point Therapeutics,"INC Research, Inc. (Raleigh, North Carolina)",Brain and Nervous System
UCI-16-56,"Phase II, Single Arm Study Of NOVOTTF-200A In Bevacizumab-Naive Subjects With Recurrent WHO Grade III Malignant Astrocytoma",Ph II Study of Optune in Bevacizumab-Naïve Subjects w/ Recurrent WHO Grade III Malignant Astrocytoma,Daniela Bota,Adults 21 years of age and older,This is a Phase 2 study in subjects with WHO Grade III Anaplastic Astrocytoma (G3 astrocytoma) who had progressive disease during first or second line treatment and who have not previously received any BEV (Bevacizumab) or any experimental agents.,II,Treatment,NovoCure Ltd.,UCI,Brain and Nervous System
NRG-BN003,Phase III Trial of Observation versus Irradiation for a Gross Totally Resected Grade II Meningioma,Ph III Trial of Observation Vs Irradiation for a Gross Totally Resected Grade II Meningioma,Xiao-Tang Kong,Adults,This randomized phase III trial studies how well radiation therapy works compared with observation in treating patients with newly diagnosed grade II meningioma that has been completely removed by surgery. Radiation therapy uses high energy x-rays to kill tumor cells and shrink tumors.,III,Treatment,NRG Oncology,,Brain and Nervous System
ALLIANCE-A071601,Phase II Trial of BRAF/MEK Inhibitors in Papillary Craniopharyngiomas,Ph II Trial of BRAF/MEK Inhibitors in Papillary Craniopharyngiomas,Yoon Jae Choi,Adults,This phase II trial studies how well vemurafenib and cobimetinib work in treating patients with BRAF V600E mutation positive craniopharyngioma. Vemurafenib and cobimetinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth,II,Treatment,Alliance,,Brain and Nervous System
UCI-18-21,"A Phase I/II Study of Oral LOXO-292 in Patients with Advanced Solid Tumors, Including RET Fusion-Positive Solid Tumors, Medullary Thyroid Cancer, and Other Tumors with RET Activation (LIBRETTO-001).","Ph I/II LOXO-292 for RET Fusion+ Solid Tumors, Medullary Thyroid Ca & Other Tumors w/RET Activation",Misako Nagasaka,"18 Years and older   (Adult, Older Adult)","This is an open-label, first-in-human study designed to evaluate the safety, tolerability, pharmacokinetics (PK) and preliminary anti-tumor activity of selpercatinib (also known as LOXO-292) administered orally to participants with advanced solid tumors, including rearranged during transfection (RET)-fusion-positive solid tumors, medullary thyroid cancer (MTC) and other tumors with RET activation.",I/II,Treatment,"Loxo Oncology, Inc.",,Rectum
UCI-18-64,"An Open-Label, Multicenter, Phase I/II Study of RP1 as a Single Agent and in Combination with PD1 Blockade in Patients with Solid Tumors",Phase I/II Study of RP1 as a Single Agent & in Combo W/ PD1 Blockade in Pts W/ Solid Tumors,John P Fruehauf,Adult,"RPL-001-16 is a Phase 1/2, open label, dose escalation and expansion clinical study of RP1 alone and in combination with nivolumab in adult subjects with advanced and/or refractory solid tumors, to determine the maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D), as well as to evaluate preliminary efficacy.",I/II,Treatment,Replimune Inc.,,Other Digestive Organ
